;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
146794198;09.06.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;EUR 15000000;CHF 17340000;CHF 17341350;EUR 15000000;FX Swap Near Leg - EUR/CHF, 08.06.18 (1035365);FX Swap Far Leg - EUR/CHF, 14.06.18 (1035366);08.06.2018;08.06.2018;14.06.2018
146795116;09.06.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 17422350;EUR 15000000;EUR 15000000;CHF 17422050;FX Swap Near Leg - EUR/CHF, 12.06.18 (1035395);FX Swap Far Leg - EUR/CHF, 14.06.18 (1035396);08.06.2018;12.06.2018;14.06.2018
146789405;08.06.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.USD recon_settle;0001153.MM MACC.SETTLE.IN.USD recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 6760753.82;USD 8000000;USD 8000000;EUR 6757612.87;FX Swap Near Leg - USD/EUR, 11.06.18 (1035244);FX Swap Far Leg - USD/EUR, 18.06.18 (1035245);07.06.2018;11.06.2018;18.06.2018
146784881;07.06.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.USD recon_settle;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 14436141.3;USD 17000000;USD 17000000;EUR 14433506.11;FX Swap Near Leg - USD/EUR, 08.06.18 (1035158);FX Swap Far Leg - USD/EUR, 11.06.18 (1035159);06.06.2018;08.06.2018;11.06.2018
146782410;07.06.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 15000000;CHF 17370750;CHF 17371290;EUR 15000000;FX Swap Near Leg - EUR/CHF, 06.06.18 (1035100);FX Swap Far Leg - EUR/CHF, 08.06.18 (1035101);06.06.2018;06.06.2018;08.06.2018
146776095;06.06.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 2000000;CHF 1970715.6;CHF 1971147;USD 2000000;FX Swap Near Leg - USD/CHF, 05.06.18 (1034970);FX Swap Far Leg - USD/CHF, 08.06.18 (1034971);05.06.2018;05.06.2018;08.06.2018
146771274;05.06.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 2000000;CHF 1970728;CHF 1970888;USD 2000000;FX Swap Near Leg - USD/CHF, 04.06.18 (1034875);FX Swap Far Leg - USD/CHF, 05.06.18 (1034876);04.06.2018;04.06.2018;05.06.2018
146769213;05.06.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 14000000;CHF 16163700;CHF 16164108.8;EUR 14000000;FX Swap Near Leg - EUR/CHF, 04.06.18 (1034800);FX Swap Far Leg - EUR/CHF, 06.06.18 (1034801);04.06.2018;04.06.2018;06.06.2018
145509413;02.06.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;CHF 11530632;CHF 11530952;EUR 10000000;FX Swap Near Leg - EUR/CHF, 01.06.18 (1034699);FX Swap Far Leg - EUR/CHF, 04.06.18 (1034700);01.06.2018;01.06.2018;04.06.2018
145509314;02.06.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 8000000;CHF 9229800;CHF 9230088;EUR 8000000;FX Swap Near Leg - EUR/CHF, 01.06.18 (1034696);FX Swap Far Leg - EUR/CHF, 04.06.18 (1034697);01.06.2018;01.06.2018;04.06.2018
145499546;31.05.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.USD recon_settle;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 12058466.34;USD 14000000;USD 14000000;EUR 12050806.2;FX Swap Near Leg - USD/EUR, 01.06.18 (1034504);FX Swap Far Leg - USD/EUR, 11.06.18 (1034505);30.05.2018;01.06.2018;11.06.2018
145498880;31.05.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 17191878.56;USD 20000000;USD 20000000;EUR 17184226.94;FX Swap Near Leg - USD/EUR, 01.06.18 (1034477);FX Swap Far Leg - USD/EUR, 08.06.18 (1034478);30.05.2018;01.06.2018;08.06.2018
145493197;30.05.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.JPY recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.JPY recon_settle;JPY 1200000000;USD 11059194.34;USD 11011295.75;JPY 1200000000;FX Swap Near Leg - JPY/USD, 31.05.18 (1034356);FX Swap Far Leg - JPY/USD, 31.07.18 (1034357);29.05.2018;31.05.2018;31.07.2018
145479011;26.05.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.EUR recon_settle;8000132.MM MACC.SETTLE.IN.EUR recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 11693000;EUR 10000000;EUR 10000000;USD 11723750;FX Swap Near Leg - EUR/USD, 25.05.18 (1034152);FX Swap Far Leg - EUR/USD, 29.06.18 (1034153);25.05.2018;25.05.2018;29.06.2018
145480991;26.05.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11560200;EUR 10000000;EUR 10000000;CHF 11559510;FX Swap Near Leg - EUR/CHF, 29.05.18 (1034187);FX Swap Far Leg - EUR/CHF, 05.06.18 (1034188);25.05.2018;29.05.2018;05.06.2018
145463953;25.05.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 11730072;EUR 10000000;EUR 10000000;USD 11759280;FX Swap Near Leg - EUR/USD, 24.05.18 (1034035);FX Swap Far Leg - EUR/USD, 29.06.18 (1034036);24.05.2018;24.05.2018;29.06.2018
145451624;23.05.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 9976400;USD 10000000;USD 10000000;CHF 9971050;FX Swap Near Leg - USD/CHF, 24.05.18 (1033725);FX Swap Far Leg - USD/CHF, 31.05.18 (1033726);22.05.2018;24.05.2018;31.05.2018
145438216;18.05.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 11799030;EUR 10000000;EUR 10000000;USD 11818920;FX Swap Near Leg - EUR/USD, 17.05.18 (1033515);FX Swap Far Leg - EUR/USD, 11.06.18 (1033516);17.05.2018;17.05.2018;11.06.2018
145431285;17.05.2018;FX swap;Done;CORNER BANCA S.A. LUGANO;0000937.3002 AUX Interim money trading (23);;0000937.MM MACC.SETTLE.IN.USD recon_settle;0000937.MM MACC.SETTLE.OUT.EUR recon_settle;0000937.MM MACC.SETTLE.IN.EUR recon_settle;0000937.MM MACC.SETTLE.OUT.USD recon_settle;USD 11800000;EUR 10000000;EUR 10000000;USD 11825500;FX Swap Near Leg - EUR/USD, 18.05.18 (1033389);FX Swap Far Leg - EUR/USD, 18.06.18 (1033390);16.05.2018;18.05.2018;18.06.2018
145422534;16.05.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 11844895;EUR 10000000;EUR 10000000;USD 11872200;FX Swap Near Leg - EUR/USD, 16.05.18 (1033322);FX Swap Far Leg - EUR/USD, 18.06.18 (1033323);15.05.2018;16.05.2018;18.06.2018
145413776;15.05.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 11981369;EUR 10000000;EUR 10000000;USD 12037200;FX Swap Near Leg - EUR/USD, 14.05.18 (1033075);FX Swap Far Leg - EUR/USD, 16.07.18 (1033076);14.05.2018;14.05.2018;16.07.2018
145413738;15.05.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 11982760;EUR 10000000;EUR 10000000;USD 12038750;FX Swap Near Leg - EUR/USD, 14.05.18 (1033071);FX Swap Far Leg - EUR/USD, 16.07.18 (1033072);14.05.2018;14.05.2018;16.07.2018
144136950;08.05.2018;FX swap;Reversed;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.EUR recon_settle;8000132.MM MACC.SETTLE.IN.EUR recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 11909000;EUR 10000000;EUR 10000000;USD 11936100;FX Swap Near Leg - EUR/USD, 07.05.18 (1032495);FX Swap Far Leg - EUR/USD, 07.05.18 (1032496);07.05.2018;09.05.2018;11.06.2018
144136977;08.05.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 11922500;EUR 10000000;EUR 10000000;USD 11949710;FX Swap Near Leg - EUR/USD, 09.05.18 (1032500);FX Swap Far Leg - EUR/USD, 11.06.18 (1032501);07.05.2018;09.05.2018;11.06.2018
144081168;26.04.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 12198000;EUR 10000000;EUR 10000000;USD 12251590;FX Swap Near Leg - EUR/USD, 27.04.18 (1031471);FX Swap Far Leg - EUR/USD, 27.06.18 (1031472);25.04.2018;27.04.2018;27.06.2018
144058928;24.04.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 12248000;EUR 10000000;EUR 10000000;USD 12274680;FX Swap Near Leg - EUR/USD, 25.04.18 (1031255);FX Swap Far Leg - EUR/USD, 25.05.18 (1031256);23.04.2018;25.04.2018;25.05.2018
144052053;21.04.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023102001 CH95 0078 8001 A32436736 Nostro Account CHF;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;EUR 13000000;CHF 15570100;CHF 15570711;EUR 13000000;FX Swap Near Leg - EUR/CHF, 20.04.18 (1031182);FX Swap Far Leg - EUR/CHF, 23.04.18 (1031183);20.04.2018;20.04.2018;23.04.2018
144051768;21.04.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.CHF recon_settle;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 17965500;EUR 15000000;EUR 15000000;CHF 17959935;FX Swap Near Leg - EUR/CHF, 20.04.18 (1031169);FX Swap Far Leg - EUR/CHF, 24.05.18 (1031170);20.04.2018;20.04.2018;24.05.2018
144051981;21.04.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 7000000;CHF 6800773;CHF 6819484;USD 7000000;FX Swap Near Leg - USD/CHF, 20.04.18 (1031178);FX Swap Far Leg - USD/CHF, 24.05.18 (1031179);20.04.2018;20.04.2018;24.05.2018
144004849;12.04.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 12378800;EUR 10000000;EUR 10000000;USD 12405580;FX Swap Near Leg - EUR/USD, 13.04.18 (1030403);FX Swap Far Leg - EUR/USD, 14.05.18 (1030404);11.04.2018;13.04.2018;14.05.2018
144002954;12.04.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 7000000;CHF 6712300;CHF 6713525;USD 7000000;FX Swap Near Leg - USD/CHF, 11.04.18 (1030372);FX Swap Far Leg - USD/CHF, 13.04.18 (1030373);11.04.2018;11.04.2018;13.04.2018
144004303;12.04.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;CHF 5928595;CHF 5928595;EUR 5000000;FX Swap Near Leg - EUR/CHF, 11.04.18 (1030389);FX Swap Far Leg - EUR/CHF, 12.04.18 (1030390);11.04.2018;11.04.2018;12.04.2018
143997400;11.04.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 18482850;EUR 15000000;EUR 15000000;USD 18523950;FX Swap Near Leg - EUR/USD, 12.04.18 (1030235);FX Swap Far Leg - EUR/USD, 14.05.18 (1030236);10.04.2018;12.04.2018;14.05.2018
143991980;10.04.2018;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 10000000;CHF 9595100;CHF 9596681;USD 10000000;FX Swap Near Leg - USD/CHF, 09.04.18 (1030090);FX Swap Far Leg - USD/CHF, 11.04.18 (1030091);09.04.2018;09.04.2018;11.04.2018
143991939;10.04.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10000000;CHF 11781700;CHF 11782072;EUR 10000000;FX Swap Near Leg - EUR/CHF, 09.04.18 (1030087);FX Swap Far Leg - EUR/CHF, 11.04.18 (1030088);09.04.2018;09.04.2018;11.04.2018
142722227;06.04.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 13000000;CHF 15328560;CHF 15329499.9;EUR 13000000;FX Swap Near Leg - EUR/CHF, 05.04.18 (1029830);FX Swap Far Leg - EUR/CHF, 09.04.18 (1029831);05.04.2018;05.04.2018;09.04.2018
142709654;04.04.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11754200;EUR 10000000;EUR 10000000;CHF 11753590;FX Swap Near Leg - EUR/CHF, 05.04.18 (1029637);FX Swap Far Leg - EUR/CHF, 12.04.18 (1029638);03.04.2018;05.04.2018;12.04.2018
142709589;04.04.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.USD recon_settle;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025502978 BE87480945108794 Nostro Account EUR;EUR 10000000;USD 12316760;USD 12315920;EUR 10000000;FX Swap Near Leg - EUR/USD, 03.04.18 (1029628);FX Swap Far Leg - EUR/USD, 04.04.18 (1029629);03.04.2018;03.04.2018;04.04.2018
142686836;30.03.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 10500000;CHF 12371625;CHF 12373851;EUR 10500000;FX Swap Near Leg - EUR/CHF, 29.03.18 (1029393);FX Swap Far Leg - EUR/CHF, 03.04.18 (1029394);29.03.2018;29.03.2018;03.04.2018
142679985;29.03.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.EUR recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 6000000;CHF 7066800;CHF 7068000;EUR 6000000;FX Swap Near Leg - EUR/CHF, 28.03.18 (1029277);FX Swap Far Leg - EUR/CHF, 05.04.18 (1029278);28.03.2018;28.03.2018;05.04.2018
142674838;28.03.2018;FX swap;Done;BANQUE CANTONALE GENEVE;0000231.3004 AUX Interim money trading (23);;000023109001 CH9600788000050615151 Nostro Account JPY;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023106978 CH98 0078 8001 T32474331 Nostro Account EUR;000023109001 CH9600788000050615151 Nostro Account JPY;JPY 1100000000;EUR 8392205.93;EUR 8396946.56;JPY 1100000000;FX Swap Near Leg - JPY/EUR, 29.03.18 (1029171);FX Swap Far Leg - JPY/EUR, 31.05.18 (1029172);27.03.2018;29.03.2018;31.05.2018
142652963;27.03.2018;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;000025509554 BE27488591888273NZD Nostro Account NZD;0000255.MM MACC.SETTLE.OUT.USD recon_settle;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025509554 BE27488591888273NZD Nostro Account NZD;NZD 50000;USD 36430.45;USD 36437.5;NZD 50000;FX Swap Near Leg - NZD/USD, 28.03.18 (1029061);FX Swap Far Leg - NZD/USD, 30.04.18 (1029062);26.03.2018;28.03.2018;30.04.2018
142640114;23.03.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11688200;EUR 10000000;EUR 10000000;CHF 11687000;FX Swap Near Leg - EUR/CHF, 26.03.18 (1028778);FX Swap Far Leg - EUR/CHF, 03.04.18 (1028779);22.03.2018;26.03.2018;03.04.2018
142634324;22.03.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 9524200;USD 10000000;USD 10000000;CHF 9513400;FX Swap Near Leg - USD/CHF, 23.03.18 (1028644);FX Swap Far Leg - USD/CHF, 03.04.18 (1028645);21.03.2018;23.03.2018;03.04.2018
142627667;21.03.2018;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 18494550;EUR 15000000;EUR 15000000;USD 18543960;FX Swap Near Leg - EUR/USD, 22.03.18 (1028464);FX Swap Far Leg - EUR/USD, 23.04.18 (1028465);20.03.2018;22.03.2018;23.04.2018
142622561;20.03.2018;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 12285600;EUR 10000000;EUR 10000000;USD 12319660;FX Swap Near Leg - EUR/USD, 21.03.18 (1028353);FX Swap Far Leg - EUR/USD, 23.04.18 (1028354);19.03.2018;21.03.2018;23.04.2018
142609324;16.03.2018;FX swap;Reversed;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.GBP recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.GBP recon_settle;GBP 6500000;USD 9064425.5;USD 9064250;GBP 6500000;FX Swap Near Leg - GBP/USD, 15.03.18 (1028122);FX Swap Far Leg - GBP/USD, 15.03.18 (1028123);15.03.2018;15.03.2018;19.03.2018
142609587;16.03.2018;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.GBP recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.GBP recon_settle;GBP 6500000;USD 9064425.5;USD 9064250;GBP 6500000;FX Swap Near Leg - GBP/USD, 15.03.18 (1028156);FX Swap Far Leg - GBP/USD, 16.03.18 (1028157);15.03.2018;15.03.2018;16.03.2018
142609079;16.03.2018;FX swap;Done;RAIFFEISEN BANK INT. AT;0001153.3003 AUX Interim money trading (23);;0001153.MM MACC.SETTLE.IN.GBP recon_settle;0001153.MM MACC.SETTLE.OUT.EUR recon_settle;0001153.MM MACC.SETTLE.IN.EUR recon_settle;0001153.MM MACC.SETTLE.OUT.GBP recon_settle;GBP 7000000;EUR 7903139.13;EUR 7903371.13;GBP 7000000;FX Swap Near Leg - GBP/EUR, 15.03.18 (1028111);FX Swap Far Leg - GBP/EUR, 16.03.18 (1028112);15.03.2018;15.03.2018;16.03.2018
